,sodium,fat,protein,calories
0,559.0,7.0,30.0,426.0
1,1439.0,23.0,18.0,403.0
2,165.0,7.0,6.0,165.0
3,,,,
4,452.0,32.0,20.0,547.0
5,1042.0,79.0,19.0,948.0
6,,,,
7,,,,
8,1272.0,10.0,7.0,170.0
9,1696.0,41.0,23.0,602.0
10,30.0,5.0,4.0,256.0
11,,,,
12,439.0,48.0,12.0,766.0
13,176.0,12.0,11.0,174.0
14,1394.0,3.0,4.0,134.0
15,977.0,31.0,5.0,382.0
16,160.0,5.0,4.0,146.0
17,1027.0,68.0,59.0,890.0
18,344.0,7.0,5.0,107.0
19,383.0,33.0,10.0,421.0
20,423.0,19.0,11.0,345.0
21,,,,
22,,,,
23,,,,
24,206.0,30.0,3.0,279.0
25,103.0,7.0,1.0,95.0
26,250.0,20.0,6.0,215.0
27,0.0,0.0,0.0,14.0
28,79.0,19.0,6.0,351.0
29,226.0,5.0,5.0,311.0
30,,,,
31,,,,
32,604.0,18.0,7.0,376.0
33,765.0,13.0,10.0,185.0
34,,,,
35,1248.0,44.0,39.0,625.0
36,,,,
37,329.0,10.0,4.0,107.0
38,413.0,16.0,44.0,336.0
39,208.0,6.0,3.0,145.0
40,100.0,35.0,5.0,483.0
41,181.0,31.0,44.0,634.0
42,,,,
43,,,,
44,,,,
45,881.0,0.0,2.0,90.0
46,815.0,8.0,19.0,202.0
47,,,,
48,174.0,21.0,14.0,338.0
49,4.0,1.0,3.0,191.0
50,508.0,12.0,8.0,166.0
51,242.0,13.0,6.0,275.0
52,,,,
53,583.0,87.0,89.0,1203.0
54,148.0,7.0,4.0,266.0
55,,,,
56,1413.0,70.0,38.0,904.0
57,211.0,10.0,4.0,223.0
58,697.0,3.0,2.0,194.0
59,116.0,7.0,5.0,177.0
60,60.0,6.0,2.0,70.0
61,112.0,32.0,6.0,368.0
62,565.0,15.0,7.0,293.0
63,694.0,19.0,8.0,523.0
64,89.0,7.0,4.0,252.0
65,,,,
66,340.0,12.0,21.0,224.0
67,155.0,20.0,0.0,185.0
68,148.0,59.0,9.0,830.0
69,469.0,5.0,7.0,195.0
70,637.0,42.0,21.0,684.0
71,907.0,37.0,39.0,641.0
72,231.0,36.0,8.0,538.0
73,84.0,24.0,7.0,264.0
74,599.0,14.0,19.0,365.0
75,569.0,56.0,9.0,926.0
76,364.0,0.0,1.0,26.0
77,9.0,7.0,2.0,230.0
78,51.0,8.0,3.0,157.0
79,,,,
80,220.0,73.0,54.0,1172.0
81,199.0,12.0,6.0,298.0
82,909.0,57.0,36.0,682.0
83,20.0,18.0,7.0,517.0
84,1797.0,54.0,45.0,856.0
85,1038.0,28.0,48.0,599.0
86,,,,
87,311.0,77.0,63.0,1143.0
88,146.0,11.0,4.0,129.0
89,,,,
90,,,,
91,106.0,37.0,36.0,571.0
92,826.0,17.0,45.0,508.0
93,603.0,3.0,2.0,62.0
94,1226.0,70.0,92.0,1118.0
95,302.0,34.0,0.0,306.0
96,77.0,8.0,5.0,209.0
97,324.0,52.0,22.0,645.0
98,46.0,9.0,3.0,126.0
99,91.0,8.0,2.0,133.0
